FID_J09229EDC426947CC981F6871CF,GEO_ID,STATE,COUNTY,TRACT,BLKGRP,NAME,LSAD,CENSUSAREA,TARGET_FID,B25024e1,B25024m1,B25024e10,B25024m10,B25033e1,B25033m1,B25033e2,B25033m2,B25033e6,B25033m6,B25033e8,B25033m8,B25033e12,B25033m12,JoinID,TotalPopInMobileHomes,GEO_ID_1,STATE_1,COUNTY_1,TRACT_1,BLKGRP_1,NAME_1,LSAD_1,CENSUSAREA_1,FID_CA_SHP_CA_SHP_0,Shape__Area,Shape__Length,AnalysisArea
442,1500000US060650410022,6,65,41002,2,2,BG,0.248,8120,844.0,21.0,0.0,12.0,3500.0,240.0,2700.0,267.0,0.0,12.0,800.0,208.0,0.0,12.0,06065041002,0.0,1500000US060650410022,6,65,41002,2,2,BG,0.248,19563,913444.49609375,4622.54347533,0.24205795
443,1500000US060650410031,6,65,41003,1,1,BG,0.713,8121,725.0,31.0,0.0,12.0,2858.0,306.0,2204.0,451.0,0.0,12.0,654.0,242.0,0.0,12.0,06065041003,0.0,1500000US060650410031,6,65,41003,1,1,BG,0.713,19564,2672921.05859375,8767.17116316,0.70836818
444,1500000US060650410043,6,65,41004,3,3,BG,3.05800009,8122,1389.0,32.0,0.0,17.0,5071.0,412.0,2344.0,403.0,0.0,17.0,2727.0,467.0,0.0,17.0,06065041004,0.0,1500000US060650410043,6,65,41004,3,3,BG,3.05800009,19566,12187580.10546875,19578.65453936,3.22900635
445,1500000US060650411013,6,65,41101,3,3,BG,0.145,8123,1282.0,29.0,0.0,17.0,5781.0,585.0,1343.0,527.0,0.0,17.0,4438.0,623.0,0.0,17.0,06065041101,0.0,1500000US060650411013,6,65,41101,3,3,BG,0.145,19568,548164.01953125,3150.41746888,0.14529829
446,1500000US060650422142,6,65,42214,2,2,BG,9.41899967,8180,1864.0,50.0,0.0,17.0,6412.0,425.0,4616.0,545.0,0.0,17.0,1796.0,539.0,0.0,17.0,06065042214,0.0,1500000US060650422142,6,65,42214,2,2,BG,9.41899967,19571,35571774.46484375,31711.6733945,9.42032945
448,1500000US060650424011,6,65,42401,1,1,BG,8.15200043,8183,599.0,17.0,0.0,12.0,1972.0,146.0,1604.0,276.0,0.0,12.0,368.0,253.0,0.0,12.0,06065042401,0.0,1500000US060650424011,6,65,42401,1,1,BG,8.15200043,19578,30710143.3515625,29083.61993558,8.13800972
449,1500000US060650424031,6,65,42403,1,1,BG,0.51200002,8185,1154.0,26.0,0.0,12.0,4281.0,543.0,3127.0,460.0,0.0,12.0,1154.0,517.0,0.0,12.0,06065042403,0.0,1500000US060650424031,6,65,42403,1,1,BG,0.51200002,19580,1930525.75390625,5655.4137275,0.51158575
450,1500000US060650424041,6,65,42404,1,1,BG,0.39300001,8186,597.0,17.0,0.0,12.0,2407.0,253.0,1114.0,301.0,0.0,12.0,1293.0,339.0,0.0,12.0,06065042404,0.0,1500000US060650424041,6,65,42404,1,1,BG,0.39300001,19581,1487661.359375,5546.61522829,0.3943
452,1500000US060650424081,6,65,42408,1,1,BG,0.233,8190,868.0,39.0,0.0,12.0,3324.0,290.0,2420.0,291.0,0.0,12.0,904.0,267.0,0.0,12.0,06065042408,0.0,1500000US060650424081,6,65,42408,1,1,BG,0.233,19586,883074.13671875,4631.32168228,0.23400321
454,1500000US060650424101,6,65,42410,1,1,BG,0.61900002,8192,1430.0,28.0,0.0,17.0,5348.0,417.0,4007.0,510.0,0.0,17.0,1341.0,506.0,0.0,17.0,06065042410,0.0,1500000US060650424101,6,65,42410,1,1,BG,0.61900002,19589,2336347.4453125,6991.02528208,0.61891271
